,sessions_60d,rps_avg_60d,device,state,operating_system,created,id
0,93618.0,3.0712500218013634,{'INCLUDE': 'DESK'},"{'INCLUDE': ('MT', 'ND', 'AR', 'ID', 'KY', 'IA', 'MS', 'NM', 'ME', 'OK', 'SD', 'IN', 'DE', 'CT', 'WI', 'NV', 'DC', 'AK', 'RI', 'NE', 'OR', 'WY', 'HI', 'WV', 'MA', 'MN', 'MO', 'VT', 'AL', 'SC', 'LA', 'AZ', 'KS', 'UT', 'NH')}",{'INCLUDE': 'Mac_OS_X'},True,11501666
1,11450.0,3.1781487599126637,{'INCLUDE': 'DESK'},"{'INCLUDE': ('PA',)}",{'INCLUDE': 'Mac_OS_X'},True,11501684
2,6724.0,3.2244729060083284,{'INCLUDE': 'DESK'},"{'INCLUDE': ('MI',)}",{'INCLUDE': 'Mac_OS_X'},True,11501686
3,9957.0,3.1547789936727932,{'INCLUDE': 'DESK'},"{'INCLUDE': ('OH',)}",{'INCLUDE': 'Mac_OS_X'},True,11502743
4,12024.0,3.214570881902861,{'INCLUDE': 'DESK'},"{'INCLUDE': ('IL',)}",{'INCLUDE': 'Mac_OS_X'},True,11502747
5,9449.0,3.560097424701027,{'INCLUDE': 'DESK'},"{'INCLUDE': ('NC',)}",{'INCLUDE': 'Mac_OS_X'},True,11502748
6,7226.0,3.352355615693329,{'INCLUDE': 'DESK'},"{'INCLUDE': ('TN',)}",{'INCLUDE': 'Mac_OS_X'},True,11502749
7,7322.0,3.935624205681508,{'INCLUDE': 'DESK'},"{'INCLUDE': ('CO',)}",{'INCLUDE': 'Mac_OS_X'},True,11502750
8,11859.0,3.5948558318576604,{'INCLUDE': 'DESK'},"{'INCLUDE': ('GA',)}",{'INCLUDE': 'Mac_OS_X'},True,11502751
9,9911.0,3.8676002350923215,{'INCLUDE': 'DESK'},"{'INCLUDE': ('VA',)}",{'INCLUDE': 'Mac_OS_X'},True,11502752
10,29121.0,3.5988390726966792,{'INCLUDE': 'DESK'},"{'INCLUDE': ('TX',)}",{'INCLUDE': 'Mac_OS_X'},True,11502753
11,8827.0,2.6190724350288885,{'INCLUDE': 'DESK'},"{'INCLUDE': ('NJ',)}",{'INCLUDE': 'Mac_OS_X'},True,11502755
12,8833.0,4.015984956187026,{'INCLUDE': 'DESK'},"{'INCLUDE': ('MD',)}",{'INCLUDE': 'Mac_OS_X'},True,11502756
13,8388.0,2.132764132570339,{'INCLUDE': 'DESK'},"{'INCLUDE': ('WA',)}",{'INCLUDE': 'Mac_OS_X'},True,11502757
14,22209.0,2.3088425915169526,{'INCLUDE': 'DESK'},"{'INCLUDE': ('FL',)}",{'INCLUDE': 'Mac_OS_X'},True,11502759
